case_name,office,aircon,ventilation,exhaust,n_from2sec,n_from2sec/S,countTimeMean_sit,countTimeMean_sit2stand
office9_360_164_aout,office9,360.0,164.0,a,5999.8,166.6611111111111,336.61131447587354,1841.4529118136438
office9_360_164_bout,office9,360.0,164.0,b,6307.4,175.20555555555555,360.2119800332779,1992.19234608985
office9_360_246_aout,office9,360.0,246.0,a,6642.4,184.51111111111112,289.55174708818635,1638.6988352745427
office9_360_246_bout,office9,360.0,246.0,b,6613.8,183.71666666666667,278.0435940099834,1792.6818635607322
office9_360_82_aout,office9,360.0,82.0,a,5970.0,165.83333333333331,329.785690515807,1816.6845257903492
office9_360_82_bout,office9,360.0,82.0,b,6451.2,179.2,346.0861896838602,2117.232945091514
office9_660_0,office9,660.0,0.0,off,6702.6,186.1833333333333,305.61297836938434,1739.122462562396
office9_660_164_aout,office9,660.0,164.0,a,6826.4,189.62222222222223,308.04625623960067,1753.7660565723793
office9_660_164_bout,office9,660.0,164.0,b,7095.0,197.0833333333333,410.69883527454243,2156.0762063227953
office9_660_246_aout,office9,660.0,246.0,a,6914.4,192.06666666666663,283.36372712146425,1658.901830282862
office9_660_246_bout,office9,660.0,246.0,b,6548.0,181.88888888888889,435.1091514143095,2094.3743760399334
office9_660_82_aout,office9,660.0,82.0,a,7129.8,198.05,283.76638935108156,1930.3843594009984
office9_660_82_bout,office9,660.0,82.0,b,6571.0,182.52777777777777,469.73710482529117,1878.675207986689
office9_960_0,office9,960.0,0.0,off,7293.2,202.5888888888889,435.0758735440932,2075.2745424292843
office9_960_164_aout,office9,960.0,164.0,a,7445.8,206.82777777777773,368.9171381031614,1837.4435940099836
office9_960_164_bout,office9,960.0,164.0,b,6890.6,191.4055555555556,417.78868552412644,1781.6745424292847
office9_960_246_aout,office9,960.0,246.0,a,7191.4,199.76111111111112,513.763394342762,2118.157737104825
office9_960_246_bout,office9,960.0,246.0,b,7783.6,216.2111111111112,475.75274542429287,2195.0306156405986
office9_960_82_aout,office9,960.0,82.0,a,7607.8,211.32777777777773,401.27720465890184,2004.255241264559
office9_960_82_bout,office9,960.0,82.0,b,7461.4,207.26111111111112,522.8009983361065,2123.4495840266227
office7_0_0,office7,0.0,0.0,off,6850.2,190.28333333333336,689.8455906821963,3044.9457570715476
office7_0_164_aout,office7,0.0,164.0,a,7004.6,194.57222222222225,579.5687188019966,2725.5933444259567
office7_0_164_bout,office7,0.0,164.0,b,6886.8,191.3,558.1028286189684,3005.0725457570716
office7_0_246_aout,office7,0.0,246.0,a,7301.4,202.81666666666663,382.93477537437604,2193.3554076539103
office7_0_246_bout,office7,0.0,246.0,b,6920.4,192.2333333333333,754.677537437604,3376.2056572379365
office7_0_82_aout,office7,0.0,82.0,a,6816.8,189.35555555555555,624.3404326123127,3075.4242928452577
office7_0_82_bout,office7,0.0,82.0,b,6432.6,178.68333333333334,631.8728785357737,2797.3104825291184
office7_360_0,office7,360.0,0.0,off,5619.4,156.09444444444443,204.5487520798669,1791.5168053244595
office7_360_164_aout,office7,360.0,164.0,a,5956.2,165.45,263.9940099833611,1427.3767054908487
office7_360_164_bout,office7,360.0,164.0,b,5837.6,162.15555555555554,266.0499168053245,1713.3973377703828
